id_cabang,kode_cabang,nama_cabang,alamat,latitude,longitude
26,JK2,Jakarta 2,"Infinia Park Modern WHS Blok A-11, A-12, A-15, A-16 Jalan Dr. Saharjo No. 45, Jakarta Selatan, Desa/Kelurahan Manggarai, Kec. Tebet, Kota Adm. Jakarta Selatan, Provinsi DKI Jakarta, Kode Pos: 12850",-6.212883369,106.8464106
30,JK3,Jakarta 3,"Jl. Kunir III RT.02 RW.05 Kel. Pondok Cabe, Kec. Pamulang, Tangerang Selatan",-6.351432765,106.7529588
42,TGR,Tangerang,"Jl. Pinang Kunciran no. 31, Kel Pinang, Tangerang",-6.213746765,106.6868207
49,SBY,Surabaya,"Jl. Rungkut Industri III No. 35 (Unit/Gudang C), Rungkut – Surabaya ",-7.335692457,112.7597962
68,MKS,Makassar,"Jl. Pergudangan Parangloe Blok N11, 15 dan 17, Kel. Bira, Kec. Tamalanrea, Kota Makassar",-5.098109665,119.47672
