kode_produk,HNA,HET,UOM,berat_gram,panjang_cm,lebar_cm,tinggi_cm,is_life_saving,volume_cm3,kategori_pengiriman
MUCO002,29325,39588.75,BOX,95.75,6,4,10,0,311,3
GLUC037,159284.9,215034.7,BOX,80,10,8,5,0,356,3
KENA001,53550,72292.5,BOX,10,3,3,9,0,59,3
ANDA002,10850.25,14648.05,BOX,10,9,7,2,0,95,3
COUN001,31705,42801.75,BOX,30,12,6,3,0,264,3
COUN002,79815,107750.25,BOX,120,20,5,40,0,400,3
COUN003,19805,26736.75,BOX,20,11,3,3,0,69,3
COUN004,53210,71833.5,BOX,80,16,4,3,0,227,3
COUN005,72738.75,98197.1,BOX,20,4,3,12,0,126,3
COUN006,19805,26736.75,BOX,60,12,3,6,0,264,3
COUN008,79815,107750.25,BOX,211.18,20,4,5,0,830,3
IMOD001,638732.5,862289.3,BOX,20,5,4,11,0,198,3
COUN010,31705,42801.75,BOX,75,12,3,4,0,274,3
BETA006,12622.5,17040.8,BOX,10,9,2,2,0,37,3
FRIS005,108088.55,145919.5,CAN,400,10,10,15,0,"1,764",3
FRIS007,95673.45,129159.2,CAN,400,10,10,15,0,"1,764",3
FRIS008,195895.25,264458.8,CAN,900,13,13,19,0,"3,356",3
FRIS001,123563.65,166810.8,CAN,400,10,10,15,0,"1,764",3
FRIS003,117515.05,158645.7,CAN,400,10,10,15,0,"1,764",3
DEGR002,233750,377202.8,BOX,20,9,3,4,0,94,3
AGGR001,178500,288050.55,BOX,16,12,2,7,0,120,3
BETA001,178500,288050.55,BOX,40,9,2,4,0,30,3
GANI001,229500,370353.5,BOX,60,15,8,4,0,386,3
NEUL002,280500,452633.5,BOX,80,11,2,9,0,348,3
CLOT001,344250,530823.3,BOX,15.9,11,2,7,0,114,3
NEUL004,327250,493797.3,BOX,40,8,2,8,0,120,3
NEUL005,425000,685822.5,BOX,110,11,3,14,0,509,3
GLUB001,106250,164606.75,BOX,40,7,2,18,0,184,3
GLUB002,63750,102873.8,BOX,40,7,2,12,0,129,3
DEGR003,191250,288050.55,BOX,20,10,7,3,0,244,3
NTGX001,552500,891569.25,BOX,200,15,5,10,1,983,3
PGBX001,229500,329190.55,BOX,20.8,9,3,7,0,227,3
PGBX002,293250,473227.3,BOX,20.78,9,7,3,0,227,3
ROSU001,280500,432063.5,BOX,27,12,6,3,0,217,3
ROSU002,314500,485569.3,BOX,27,12,6,3,0,217,3
COXI001,175100,246886.75,BOX,20,12,6,2,0,166,3
COXI002,214200,308620.55,BOX,40,17,7,4,0,442,3
COXI003,294100,411493.5,BOX,40,17,7,4,0,442,3
ARCE001,76500,115215.8,BOX,21.2,12,7,18,0,190,3
TELS001,144500,233189,BOX,21.2,12,7,18,0,190,3
TELS002,191250,308620.55,BOX,21.2,12,7,18,0,190,3
GLUM008,153000,205746.75,BOX,125,9,9,4,0,442,3
GLUM009,114750,164606.75,BOX,96.5,9,4,9,0,341,3
NEUL006,586500,905290.8,BOX,58,17,9,4,0,682,3
NEUL007,280500,432063.5,BOX,50,5,5,9,0,249,3
PGBX003,216750,329190.55,BOX,10,9,7,3,0,166,3
FONY001,127500,205746.75,BOX,10,9,7,3,0,166,3
FEPE001,504900,814759,BOX,20,12,2,6,0,141,3
GLUM010,51000,82303.8,BOX,398,11,6,21,0,193,3
EZEF001,280500,452633.5,BOX,1,12,6,3,0,168,3
HYPE004,382500,617240.25,BOX,33.9,12,3,6,0,263,3
HYPE005,637500,1028733.75,BOX,1,12,6,3,0,282,3
BBET001,63750,102873.8,BOX,0.01,9,2,4,0,75,3
TELS003,335750,541785.75,BOX,40,16,7,3,0,371,3
TELS004,229500,370352.65,BOX,0.03,16,7,3,0,371,3
TELS005,318750,514367.3,BOX,40,16,7,3,0,371,3
CEFT004,195500,308620.55,BOX,40,3,3,6,0,163,3
QUID002,306000,452633.5,BOX,42,11,3,8,0,206,3
MAGA004,25500,37727.25,BTL,50,5,6,13,0,498,3
MAGA006,51000,67904.8,BOX,120,8,8,8,0,475,3
MEDI007,173400,279822.55,BOX,28,10,3,7,0,156,3
MEDI008,79050,127557.8,BOX,24,8,4,2,0,176,3
MEDI009,161500,260608.3,BOX,50,7,3,11,0,361,3
MEDI010,221000,356632.8,BOX,28,9,4,5,0,184,3
MECO001,153000,246886.75,BOX,19,12,2,7,0,112,3
MECO002,93500,150886.05,BOX,15,12,2,7,0,112,3
HIST001,42500,65146.55,BTL,160,5,6,11,0,341,3
MEDI012,374000,603519.55,BOX,40,9,4,5,0,189,3
KETR001,44200,67203.55,TUB,12,9,2,2,0,40,3
KETE002,212500,322341.25,BOX,40,8,9,2,0,193,3
BIOB001,267750,432063.5,BOX,40,13,3,7,0,254,02-A
KETR002,297500,466355.05,BOX,10,18,4,7,0,416,3
EXEP001,233750,377202.8,BOX,28,3,3,7,0,71,3
EDOT001,76500,109722.25,BOX,19,24,20,18,0,123,3
KETE003,365500,548658,BOX,40,18,7,2,0,221,3
HIST005,153000,234544.75,BOX,20,17,2,7,0,161,3
TRIX001,484500,781847,BOX,30,13,3,7,0,254,3
CROM002,170000,274329,BOX,250,14,11,5,0,676,1
OMZX004,101150,163228.05,BOX,50,6,3,11,0,357,02-A
EDOT002,34000,48012.25,BTL,19,9,7,2,0,136,3
TRIX003,221000,342911.25,BOX,30,13,3,7,0,254,3
MORC002,212500,342911.25,BOX,400,4,4,8,0,171,3
GRAV003,425000,685822.5,BOX,204.44,8,2,7,0,"1,222",3
ESOF001,119000,192026.05,BOX,17,3,3,6,0,54,3
MOLC001,267750,411493.5,BTL,190,5,5,12,0,448,3
DORB001,374000,603519.55,BOX,31,3,3,7,0,71,3
POSA001,140250,205746.75,BOX,35.78,11,4,7,0,292,3
MOLC002,297500,452633.5,BOX,25.1,14,7,2,0,202,3
OMZX005,297500,480075.75,BOX,30,16,7,2,0,252,3
LYOV001,136000,219468.3,BOX,3,3,3,61,0,70,02-B
ESOF003,357000,576100.25,BOX,30,14,8,3,0,458,3
ESOF002,238000,384051.25,BOX,30,14,7,3,0,319,3
FONK001,501500,809266.3,BOX,23,3,3,6,0,118,3
FONK002,1763750,2846163.8,BOX,72,5,5,9,0,240,3
FONK003,771375,1244765.5,BOX,26,3,3,6,0,118,02-A
FONK004,2210000,3566277,BOX,72,4,4,7,0,173,02-A
FONK005,5737500,9258603.75,BOX,116,5,5,9,0,240,02-A
VINO001,807500,1303062.75,BOX,24,4,4,8,0,100,1
CALC008,68000,105318.4,BOX,20,3,3,6,0,71,1
CARB006,174250,269878.4,BOX,44,4,4,7,0,111,02-A
CARB007,378250,585833.6,BOX,112,5,5,9,0,224,02-A
DOCE005,518500,803052.8,BOX,23,4,4,7,0,125,02-A
DOCE006,1700000,2632960,BOX,26,4,4,7,0,125,02-A
EPIR003,127500,197472,BOX,24,4,4,7,0,119,1
EPIR004,612000,947903,BOX,58,4,4,8,0,364,1
CISP003,25500,39494.4,BOX,28,4,4,7,0,119,02-A
CISP004,110500,171142.4,BOX,28,5,5,10,0,311,02-A
FLUO003,33150,53505.8,BOX,28,4,4,7,0,120,02-A
OXAL003,242250,390919.25,BOX,27.46,4,4,7,0,127,02-A
OXAL004,480250,774979.85,BOX,44.83,4,4,8,0,141,02-A
CYCL004,72250,116594.5,BOX,25,4,4,7,0,160,02-B
CYCL005,106250,171456.05,BOX,62,5,5,10,0,296,02-B
CYCL006,212500,342911.25,BOX,10.6,5,5,11,0,330,02-B
LEBR001,484500,781847,BOX,57,11,4,2,0,93,02-A
BRAC001,1062500,1714556.25,BOX,19.3,10,4,2,0,119,3
BICA003,1166200,1881898.3,BOX,19.3,10,4,2,0,119,3
BINE001,1683000,2715847.75,BOX,19.3,9,5,6,0,294,3
FERX001,63750,102873.8,BOX,6.5,10,2,5,0,92,3
ZOME005,2718300,4386505.75,BOX,180,12,8,7,0,719,3
FONK006,3825000,6172402.5,BOX,186,3,3,6,0,143,02-A
FONK007,722500,1165898.25,BOX,24,2,2,6,0,71,3
FONK008,2210000,3566277,BOX,24,2,2,6,0,71,3
ZOLE001,1360000,2106368,BOX,19,3,3,6,0,65,3
FONT001,7480000,12070476,BOX,64,5,5,10,0,296,3
FONK009,382500,617240.25,BOX,15,4,4,7,0,120,3
FONT002,1487500,2400378.75,BOX,34,4,4,7,0,130,3
REDD001,2380000,3695120,BOX,33,5,4,7,0,115,1
REDD003,11475000,17772480,BOX,99,5,5,8,0,813,1
PALO001,127500,205746.75,BOX,24.7,3,3,6,0,100,3
IMAF001,277950,448519.5,BOX,123,6,3,10,0,222,3
IMAF002,415650,670722.25,BOX,123,4,4,8,0,185,3
ANER002,160650,259228.75,BOX,40,16,4,8,0,453,3
TERM001,41055,66244.75,BOX,16,11,3,2,0,87,3
CINO001,36125,58297.25,TUB,10,2,2,11,0,70,3
FORD001,31450,50747.55,TUB,20.5,11,3,2,0,95,3
DERM002,58225,93967.5,TUB,8.18,11,3,2,0,87,3
ZELF001,33150,53505.8,TUB,16,11,3,2,0,87,3
DERM003,35700,57619.8,TUB,8,11,3,1,0,75,3
AFUC001,34850,56240.25,TUB,10,2,9,2,0,65,3
HIST003,107950,174190.5,BOX,13,12,2,7,0,112,3
SELO003,127500,205746.75,BOX,60,15,4,8,0,58,3
EVAL001,34000,54861.55,TUB,20,11,3,12,0,87,3
SELO004,161500,260608.3,BOX,60,14,7,4,0,407,3
EVAL002,38250,61733.8,TUB,20,11,3,3,0,87,3
SPOR006,176800,285292.3,BOX,20,14,7,2,0,196,3
HIST006,133875,216031.75,BOX,22,12,6,2,0,183,3
SELO005,204000,329190.55,BOX,55,14,7,4,0,390,3
PROS006,153000,246886.75,BOX,410,14,7,4,0,390,3
DESO002,55250,89152.25,BOX,26,10,3,3,0,63,3
VALC002,280500,452633.5,BOX,362.9,9,6,3,0,163,3
SCAM001,46750,75431.55,BOX,60,13,5,3,0,204,3
PROX002,46750,75431.55,BOX,1,6,4,11,0,433,3
PROX003,63750,102873.8,BOX,1,6,4,11,0,433,3
ACAN013,63750,102873.8,TUB,47.1,5,4,13,0,287,3
ACAN014,59500,96024.5,BOX,47.4,5,4,13,0,287,3
KARY001,38250,56121.25,BTL,16,3,3,7,0,122,3
TARI001,52700,77307.5,BTL,2,3,3,7,0,117,3
FLUM001,80750,118447.5,BOX,20,3,3,7,0,128,3
OPTI001,157250,253759,BOX,46,13,3,6,0,328,3
CRAV001,102000,149642.5,BTL,1.89,3,3,7,0,120,3
ALEG001,80750,118447.5,BOX,16,3,3,8,0,125,02-A
HIAL001,75650,110967.5,BTL,20,3,3,7,0,122,3
OPTI004,59500,96024.5,BTL,46,6,5,13,0,367,3
LEKU003,210375,339405,BOX,45,6,5,3,0,75,3
OPTI007,219300,353874.55,BOX,46,14,4,7,0,419,3
OPTI011,178500,288050.55,BOX,52.3,10,8,4,0,341,3
NEUV001,85000,137164.5,BTL,9.6,6,5,10,0,329,3
LERG001,68000,109722.25,BOX,14.7,3,3,7,0,75,3
MOLC003,76500,123443.8,BOX,14.7,3,3,7,0,75,3
NEUV002,340000,548658,BOX,62.64,23,7,3,0,84,3
LACO001,76500,123443.8,BOX,130,3,3,7,0,318,1
OPTI013,195500,315469,BOX,130,3,3,7,0,318,02-B
LAMO001,89250,144013.8,BOX,164.5,4,4,8,0,103,1
OPEX001,59500,96024.5,BOX,14.5,3,3,8,0,103,3
LUBR001,51000,82303.8,BOX,14.5,3,3,8,0,102,3
LATA001,59500,96024.5,BOX,13.3,3,3,7,0,76,1
OLOP001,51000,82303.8,BOX,14,3,3,7,0,63,3
MOXI003,55250,89152.25,BOX,122,3,3,7,0,76,3
TIMO001,10880,17555.05,BOX,15,3,3,7,0,78,3
SODI003,38250,61733.8,BOX,14.5,3,3,8,0,103,3
LEVO008,19380,31275.75,BOX,14.5,3,3,8,0,102,3
MENO001,4394500,6042437.5,BOX,23.6,11,4,12,0,708,02-B
MENO002,3480750,4786031.25,BOX,143.3,14,5,17,0,"1,433",1
MENO003,6961500,9572062.5,BOX,212.9,14,7,17,0,"2,006",1
REKO001,1951848.2,2683790.85,BOX,95,10,4,20,0,"1,137",1
REKO003,9008528.65,12386726.15,BOX,95,10,4,20,0,"1,137",1
PENT004,1130500,1554437.5,BOX,123,9,7,15,0,"1,207",02-B
REKO004,1951848.2,2683790.85,BOX,95,20,10,4,0,"1,074",1
REKO005,4504263.9,6193363.5,BOX,95,20,10,4,0,"1,074",1
REKO006,9008528.65,12386726.15,BOX,95,20,10,4,0,"1,074",1
PENT005,706582.05,971550,BOX,"1,000.00",14,12,23,0,"4,547",02-B
PENT006,1130500,1554437.5,BOX,123,10,5,15,0,780,02-B
GLYP002,691934,864917.5,BOX,328,6,3,9,1,241,02-B
PENT007,905505,1245069.8,BOX,100,6,6,15,0,642,02-B
PENT008,2173212,2988166.5,BOX,18,13,8,11,0,"1,233",02-B
SAFE007,12175.4,16436.45,BTL,30,3,3,9,0,79,3
SAFE009,7275.15,9821.75,BTL,27.3,3,3,6,0,56,3
SAFE012,9457.95,12767.85,BTL,39.9,3,3,9,0,72,3
SAFE013,17515.1,23645.3,BTL,100.1,3,3,11,0,152,3
SAFE014,5604.9,7566.7,BTL,28,3,3,6,0,50,3
SAFE015,9457.95,12767.85,BTL,41,3,3,9,0,73,3
SAFE017,12175.4,16436.45,BTL,56,3,3,9,0,41,3
SAFE018,24428.15,32978.3,BTL,100,3,3,11,0,152,3
SAFE019,6502.5,8778.8,SAC,27.6,12,10,12,0,152,3
MINY015,14012.25,18916.75,BTL,99.3,3,3,11,0,183,3
MINY016,12610.6,17024.65,BTL,97.9,3,3,11,0,183,3
MINY018,24520.8,33103.25,BTL,80,4,3,13,0,183,3
MINY019,15413.05,20808,BTL,80,4,3,13,0,183,3
MADU018,10661.55,14393.05,BOX,144,11,3,6,0,226,3
HERB046,21714.1,29313.95,BOX,265,16,11,8,0,"1,403",3
MADU011,14396.45,19435.25,BTL,183,4,5,10,0,204,3
MADU019,71522.4,96554.9,BTL,910,7,7,29,0,"1,669",02-A
MADU020,37257.2,50297.05,BTL,300,5,5,8,0,188,3
MADU012,10644.55,14370.1,BOX,377,7,5,17,0,595,3
MADU013,10644.55,14370.1,BOX,377,7,5,17,0,595,3
MADU014,10644.55,14370.1,BOX,377,7,5,17,0,595,3
MADU015,10644.55,14370.1,BOX,377,7,5,17,0,595,3
MADU021,88063.4,118885.25,BTL,"1,300.00",7,7,29,0,"1,421",3
MADU016,6968.3,9406.95,BOX,282,11,7,6,0,460,3
MADU017,6968.3,9406.95,BOX,282,11,7,6,0,460,3
TUBE129,3230000,4360500,BOX,120,11,5,7,0,367,1
TUBE130,3230000,4360500,BOX,120,11,5,7,0,367,1
CENT001,174250,235237.5,PAK,"1,100.00",43,33,7,0,"9,933",3
LABC008,98175,132536.25,BAG,280,28,20,4,0,"2,240",3
LABC009,85000,114750,BAG,230,29,19,1,0,551,3
LABC001,74375,100406.25,BAG,440,38,28,4,0,"4,256",3
LABC002,174250,235237.5,BAG,"1,080.00",41,28,7,0,"8,036",3
LABC003,136000,183600,BAG,350,30,20,11,0,"6,600",3
HEMO020,1147500,1549125,Ea,"1,000.00",10,10,20,0,"2,000",3
ACTI104,283475,382691.25,BOX,650,16,12,12,0,"2,282",3
ACTI105,246500,332775,BOX,650,16,12,12,0,"2,282",3
COVI010,867000,1170450,PSG,171,16,17,15,0,"3,953",3
ROSS002,1700000,2295000,BOX,104,12,8,5,0,595,02-A
ROSS003,6800000,9180000,BOX,650,24,15,8,0,"3,385",02-A
ROSS010,1700000,2295000,BOX,300,13,8,1,0,52,3
ROSS015,7225000,9753750,UNT,800,30,16,9,0,"4,185",3
BALT010,488750,659812.5,PCH,40,15,5,5,0,765,3
BALL002,515950,696532.5,PCS,140,36,18,1,0,"1,271",3
CPDH002,449650,607027.5,PCS,140,30,15,2,0,"1,341",3
CPDH004,449650,607027.5,PCS,140,30,15,2,0,"1,313",3
CPDH008,473450,639157.5,PCS,140,36,18,1,0,"1,838",3
CPDH009,473450,639157.5,PCS,140,36,18,1,0,"1,838",3
CPDH012,435200,587520,PCS,140,30,15,2,0,"1,383",3
CPDH013,435200,587520,PCS,140,30,15,2,0,"1,383",3
CPDH019,316837.5,427731.05,PCS,140,36,18,1,0,"1,838",3
OPTI015,34000,45900,Ea,40,15,5,5,0,383,3
OPTI016,34000,45900,Ea,40,15,5,5,0,383,3
SONO001,199750,269662.5,PCS,150,20,12,6,0,140,3
SONO002,199750,269662.5,PCS,150,20,12,6,0,140,3
SONO003,199750,269662.5,PCS,300,17,7,17,0,"2,166",3
STAN001,102000,137700,PCS,8,13,1,1,0,8,3
STAN003,127500,172125,PCS,8,16,1,3,0,53,3
EPIL003,314500,424575,PCS,60,15,3,20,0,484,3
SPOR005,136000,183600,PCS,43,22,6,6,0,47,3
PLEX002,552500,745875,PCS,150,20,7,1,0,140,3
PLEX003,552500,745875,PCS,150,20,7,1,0,140,3
PAJU009,552500,745875,PCS,4,2,7,1,0,14,3
PAJU017,531250,717187.5,PCS,10,10,3,1,0,30,3
PARK001,76500,103275,PCS,60,35,1,13,0,455,3
PARK002,76500,103275,PCS,60,35,1,13,0,455,3
PARK003,76500,103275,PCS,60,35,1,13,0,455,3
PARK004,76500,103275,PCS,60,35,1,13,0,455,3
PARK015,382500,516375,PCS,80,51,8,1,1,378,3
PARK017,382500,516375,PCS,80,51,8,1,1,378,3
BLOC002,509575,687926.25,PCS,0.05,30,11,2,0,620,3
ERGO001,345950,467032.5,PCS,0.05,30,11,2,0,620,3
ERGO002,345950,467032.5,PCS,0.05,30,11,2,0,620,3
HEPA012,570350,769972.5,PCS,0.05,41,8,1,0,308,3
HEPA013,570350,769972.5,PCS,0.05,42,8,1,0,315,3
HEPA015,570350,769972.5,PCS,0.05,41,8,1,0,308,3
HEPA016,570350,769972.5,PCS,45,50,10,2,0,"1,000",3
WELL005,170000,229500,PCS,125,3,1,2,0,4,3
WELL007,170000,229500,PCS,125,3,1,2,0,4,3
WELL008,170000,229500,PCS,125,3,1,2,0,4,3
NERI001,70465,95127.75,BTL,239,6,6,14,0,525,3
NERI002,61880,83538,BTL,253,4,6,16,0,406,3
NERI003,61880,83538,BTL,242,4,6,16,0,406,3
NERI006,70465,95127.75,BTL,238,60,60,140,0,504,3
NERI005,47175,63686.25,BTL,139,6,6,12,0,424,3
NERI004,47175,63686.25,BTL,133,6,6,12,0,429,3
COLO005,39780,53703,BOX,73,5,7,17,0,526,3
MAYB096,88910,120028.5,BTL,104,3,3,11,0,96,3
MAYB095,88910,120028.5,BTL,104,3,3,11,0,96,3
MAYB094,88910,120028.5,BTL,104,3,3,11,0,96,3
MAYB093,79900,107865,TBG,21,2,2,8,0,27,3
MAYB092,79900,107865,TBG,21,2,2,8,0,27,3
MAYB091,71060,95931,TBG,40.6,2,2,10,0,45,3
MAYB090,71060,95931,TBG,40.6,2,2,10,0,45,3
MAYB089,71060,95931,TBG,40.6,2,2,10,0,45,3
MAYB088,71060,95931,TBG,40.6,2,2,10,0,45,3
MAYB087,69190,93406.5,TBG,8.95,1,1,14,0,15,3
MAYB086,69190,93406.5,TBG,8.95,1,1,14,0,15,3
MAYB085,79900,107865,TBG,7,1,1,14,0,13,3
MAYB084,79900,107865,TBG,7,1,1,14,0,13,3
MAYB083,74545,100635.75,BLS,11.5,2,2,17,0,59,3
MAYB082,74545,100635.75,BLS,11.5,2,2,17,0,59,3
MAYB079,136680,184518,BOX,100,8,8,3,0,171,3
MAYB078,88910,120028.5,BLS,104,3,3,11,0,96,3
MAYB077,88910,120028.5,BLS,104,3,3,11,0,96,3
MAYB076,88910,120028.5,BLS,104,3,3,11,0,96,3
MAYB075,88910,120028.5,BLS,104,3,3,11,0,96,3
MAYB074,88910,120028.5,BLS,104,3,3,11,0,96,3
MAYB073,61625,83193.75,PCS,28.7,7,2,6,0,71,3
MAYB072,61625,83193.75,PCS,28.7,7,2,6,0,71,3
MAYB071,61625,83193.75,PCS,28.7,7,2,6,0,71,3
MAYB070,61625,83193.75,PCS,28.7,7,2,6,0,71,3
MAYB069,53040,71604,TBG,48.2,2,2,10,0,50,3
MAYB068,53040,71604,TBG,48.2,2,2,10,0,50,3
MAYB067,53040,71604,TBG,48.2,2,2,10,0,50,3
MAYB066,53040,71604,TBG,48.2,2,2,10,0,50,3
MAYB065,53040,71604,TBG,48.2,2,2,10,0,50,3
MAYB064,53040,71604,TBG,48.2,2,2,10,0,50,3
MAYB063,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB062,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB061,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB060,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB059,72335,97652.25,TUB,56,4,2,14,0,112,3
MAYB058,88485,119454.75,BOX,83,11,7,2,0,113,3
MAYB057,88485,119454.75,BOX,83,11,7,2,0,113,3
MAYB056,88485,119454.75,BOX,83,11,7,2,0,113,3
MAYB055,88485,119454.75,BOX,83,11,7,2,0,113,3
MAYB054,88485,119454.75,BOX,83,11,7,2,0,113,3
MAYB053,88485,119454.75,BOX,83,11,7,2,0,113,3
MAYB052,88485,119454.75,BOX,83,11,7,2,0,113,3
MAYB051,88485,119454.75,BOX,83,11,7,2,0,113,3
MAYB043,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB042,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB040,71060,95931,TBG,35,2,2,11,0,39,3
MAYB039,42330,57145.5,BOX,54.7,10,8,2,0,154,3
MAYB038,42330,57145.5,BOX,54.3,8,8,2,0,108,3
MAYB037,42330,57145.5,BOX,54.7,8,8,2,0,108,3
MAYB036,42330,57145.5,BOX,54.3,8,8,2,0,108,3
MAYB034,48195,65063.25,TBG,24,2,2,11,0,47,3
MAYB031,50915,68735.25,TBG,19.5,2,2,11,0,31,3
MAYB030,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB029,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB028,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB027,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB026,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB025,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB023,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB021,71060,95931,TBG,35.5,2,2,11,0,36,3
MAYB020,71060,95931,TBG,35.5,2,2,11,0,36,3
MAYB019,71060,95931,TBG,35.5,2,2,11,0,36,3
MAYB018,83045,112110.75,TBG,29.2,2,2,12,0,53,3
MAYB017,72335,97652.25,TBG,16.6,1,1,12,0,22,3
MAYB016,72335,97652.25,TBG,16.6,1,1,12,0,22,3
MAYB015,72335,97652.25,TBG,16.6,1,1,12,0,22,3
MAYB014,72335,97652.25,TBG,16.6,1,1,12,0,22,3
MAGN001,85255,115094.25,TBG,27.1,2,2,12,0,62,3
MAYB013,83045,112110.75,TBG,29.2,2,2,12,0,53,3
MAYB012,83045,112110.75,TBG,29.2,2,2,12,0,53,3
MAYB011,83045,112110.75,TBG,29.2,2,2,12,0,53,3
MAYB010,83045,112110.75,TBG,29.2,2,2,12,0,53,3
MAYB009,83045,112110.75,TBG,29.2,2,2,12,0,53,3
MAYB008,45560,61506,TBG,24.39,2,2,7,0,36,3
MAYB006,160310,216418.5,BOX,87.3,13,8,1,0,131,3
MAYB005,40205,54276.75,TBG,3.9,1,1,13,0,9,3
MAYB004,40205,54276.75,TBG,3.9,1,1,13,0,9,3
MAYB002,52105,70341.75,TBG,25,2,2,11,0,47,3
MAYB001,47685,64374.75,BTL,87,5,3,11,0,174,3
MAYB024,71060,95931,TBG,35.5,2,2,11,0,39,3
MAYB104,42840,57834,BLS,17,1,6,17,0,133,3
MAYB103,42840,57834,BLS,17,1,5,17,0,128,3
MAYB102,85255,115094.25,TBG,26.4,2,2,13,0,43,3
MAYB101,48280,65178,TBG,7,1,1,14,0,14,3
MAYB100,45560,61506,TBG,24,2,2,7,0,34,3
MAYB099,45560,61506,TBG,24,2,2,7,0,34,3
MAYB098,45560,61506,TBG,24.39,2,2,7,0,36,3
MAYB097,45560,61506,BTL,9,2,2,10,0,27,3
FITM001,58905,79521.75,BOX,49.7,5,2,17,0,170,3
FITM002,58905,79521.75,BOX,49.7,5,2,17,0,170,3
FITM003,58905,79521.75,BOX,49.7,5,2,17,0,170,3
FITM004,58905,79521.75,BOX,49.7,5,2,17,0,170,3
FITM005,58905,79521.75,BOX,49.7,5,2,17,0,170,3
LSSK001,79900,107865,TBG,30.13,2,7,14,0,216,3
LORE042,19295,26048.25,SAC,30,1,12,18,0,126,3
LORE047,105400,142290,BTL,92,4,5,9,0,160,3
GARN038,58565,79062.75,BTL,45,3,3,11,0,78,3
GARN037,94350,127372.5,BTL,105,4,4,15,0,229,3
LORE046,103530,139765.5,BTL,50,3,9,20,0,431,3
LORE045,49045,66210.75,BTL,171,4,6,17,0,415,3
GARN036,25330,34195.5,TUB,110,6,3,16,0,303,3
LORE041,124355,167879.25,PCS,245,7,7,7,0,329,3
LORE040,41310,55768.5,PCS,97.5,5,5,5,0,127,3
LORE039,117640,158814,BTL,140,4,4,11,0,169,3
LORE038,67405,90996.75,BTL,70,3,3,10,0,102,3
LORE037,117640,158814,PCS,245,7,7,7,0,329,3
LORE036,20825,28113.75,TUB,58,3,5,14,0,163,3
LORE035,39185,52899.75,TUB,110,6,3,16,0,303,3
LORE034,117640,158814,PCS,245,7,7,7,0,329,3
GARN034,24055,32474.25,BTL,150,6,4,13,0,264,3
LORE033,46835,63227.25,TUB,110,6,3,16,0,303,3
LORE032,88485,119454.75,BTL,429.3,6,6,18,0,587,3
LORE031,26945,36375.75,BTL,112.5,3,5,13,0,203,3
LORE029,66130,89275.5,PCS,100,5,5,6,0,138,3
LORE028,103530,139765.5,BTL,75,3,9,20,0,431,3
LORE027,103530,139765.5,BTL,75,9,3,20,0,431,3
LORE026,26180,35343,TUB,25,4,2,12,0,112,3
LORE025,103530,139765.5,BTL,75,9,3,20,0,431,3
LORE024,103530,139765.5,BTL,75,3,9,20,0,431,3
LORE023,26180,35343,TUB,25,4,2,12,0,112,3
GARN031,24055,32474.25,BTL,150,4,6,13,0,259,3
GARN030,55335,74702.25,BTL,45,3,3,11,0,78,3
GARN029,55335,74702.25,BTL,45,3,3,11,0,78,3
LORE022,88825,119913.75,BTL,75.5,3,4,9,0,112,3
LORE021,165410,223303.5,BTL,135,4,5,11,0,192,3
LORE020,19635,26507.25,SAC,25,1,13,18,0,114,3
GARN025,91120,123012,BTL,105,4,4,15,0,251,3
LORE019,212925,287448.75,PCS,248,7,7,8,0,400,3
GARN022,24055,32474.25,BTL,146.5,4,6,13,0,259,3
GARN020,33830,45670.5,BTL,146.5,4,6,13,0,259,3
LORE017,114580,154683,BOX,1,6,5,12,0,310,3
GARN018,24395,32933.25,TUB,125,5,8,14,0,518,3
GARN017,24395,32933.25,TUB,113,5,8,14,0,518,3
GARN016,24395,32933.25,TUB,125,5,8,14,0,518,3
GARN015,24395,32933.25,TUB,125,5,8,14,0,518,3
LORE015,124695,168338.25,PCS,187.5,7,7,8,0,400,3
LORE014,150705,203451.75,PCS,239,7,7,8,0,400,3
LORE013,145520,196452,PCS,230,7,7,8,0,400,3
LORE012,122485,165354.75,PCS,241,7,7,8,0,400,3
LORE011,150705,203451.75,PCS,230,7,7,8,0,400,3
LORE010,150705,203451.75,PCS,230,7,7,8,0,400,3
LORE009,40460,54621,TUB,115,6,3,16,0,303,3
GARN012,24055,32474.25,BTL,146.5,4,6,13,0,264,3
GARN011,22100,29835,TUB,115,6,3,16,0,303,3
GARN010,22100,29835,TUB,115,6,3,16,0,303,3
GARN009,20740,27999,TUB,115,6,3,16,0,303,3
GARN006,54060,72981,PCS,184,7,6,8,0,410,3
