kode_produk,HNA,HET,UOM,berat_gram,panjang_cm,lebar_cm,tinggi_cm,is_life_saving,volume_cm3,kategori_pengiriman
SIST001,127500,176970,BOX,53,12,9,8,0,"1,222",3
STAR001,478125,663425,BOX,43,15,7,4,0,419,3
DEXY002,331500,460275,BOX,70,18,4,9,0,650,02-A
STAR005,280500,389215,BOX,21,21,7,2,0,325,3
NIRC001,129625,179860,BOX,27.3,21,7,2,0,316,3
NASA001,93500,129795,BTL,130,5,5,17,0,489,3
MOPR001,72250,100300,BOX,21.6,18,7,13,0,528,3
DESL001,165750,230010,BOX,20,12,7,2,0,184,3
ASCA002,204000,283050,BOX,30,10,7,4,0,265,3
MODE001,149600,207570,BOX,28.6,11,4,4,0,267,3
RHIN008,98175,136425,BOX,25,12,6,2,0,90,3
MODE002,204000,283050,BOX,38,4,4,11,0,185,3
ANVO001,142800,198900,BOX,47,10,6,7,0,314,3
NORE001,212500,294950,BOX,50,2,18,7,0,304,3
OSSO001,80325,111690,BOX,62,16,7,4,0,364,3
PREG001,187000,259675,BOX,46,15,2,6,0,270,3
PROV001,446250,619395,BOX,32.22,17,7,18,0,274,3
HYST001,212500,294950,BOX,53,16,3,7,0,340,3
FOLA001,136000,189125,BOX,68,5,5,19,0,"1,237",3
LYCO001,140250,194650,BOX,69,5,8,15,0,544,3
FLAD006,131750,182920,BOX,38.96,9,6,3,0,191,1
FERI001,68850,95625,BOX,20,14,4,8,0,544,3
CELO003,187000,259505,BOX,30,23,8,2,0,217,3
FOLA002,96900,134470,BTL,65.5,5,5,9,0,243,02-B
FOLA003,114750,159290,BTL,80.25,9,5,5,0,243,3
LAKT002,153000,212670,BOX,40,12,7,3,0,230,3
FORM027,102000,141525,BOX,70,14,7,4,0,353,02-B
FORC003,127500,176970,BOX,1,5,5,9,0,216,3
PAMO002,1147500,1592220,BOX,40,18,8,3,0,516,3
FORC004,153000,212330,BOX,100,5,5,10,0,274,3
OSSO003,199750,277525,BOX,0.08,10,6,4,0,273,3
OSSO004,66937.5,93075,BOX,20,4,3,9,0,124,3
ACPU001,178500,247775,BOX,20,9,3,4,0,143,3
LAZ 001,242250,336175,BOX,31,9,3,7,0,314,3
MERT001,306000,425000,BOX,10,11,4,7,0,290,3
FLEX003,280500,389300,BOX,159,9,6,17,0,"1,113",3
DECU004,165750,230350,BOX,15,6,8,2,0,109,3
DECU005,242250,336175,BOX,15,7,7,2,0,109,3
LACI001,308550,428400,BOX,100,10,7,5,0,563,1
MERT002,510000,708050,BOX,65,18,7,4,0,524,3
ECLI001,72250,100300,BOX,23,9,4,3,0,204,3
ECLI002,114750,159375,BOX,23,9,4,3,0,272,3
GAST002,106250,147475,BOX,50,3,11,7,0,371,02-A
LEPT001,226950,314925,BOX,50,12,7,4,0,323,3
LEPT002,318750,442425,BOX,50,12,7,4,0,323,3
MOBA001,212500,294950,BOX,54,18,7,4,0,429,3
URDE001,223125,309825,BOX,35,14,7,4,0,390,3
GLUV005,102000,141525,BOX,30.55,12,2,7,0,196,3
GLUV006,182750,253725,BOX,30.55,12,2,7,0,192,3
GLUV007,246500,342125,BOX,30.55,12,7,2,0,193,3
GLUV008,276250,383350,BOX,30.55,12,7,2,0,193,3
ORIN004,182325,253215,BOX,23.9,12,6,3,0,166,3
ORIN005,224400,311355,BOX,37.6,17,7,4,0,442,3
ORIN006,294525,408765,BOX,40.5,17,7,4,0,442,3
ATEV001,765000,1061565,BOX,30,12,6,3,0,237,3
GRAN005,127500,176970,BOX,20,12,2,7,0,652,3
LONI001,170850,237150,BOX,10,9,4,2,0,82,3
VOME012,187000,259675,BOX,30,13,6,3,0,210,3
VILD001,121125,168300,BOX,10,12,2,6,0,178,3
FEST001,112200,155805,BOX,25,12,7,2,0,216,3
FEST002,224400,311355,BOX,35,16,7,2,0,279,3
GLUV009,109650,152235,BOX,40,14,7,3,0,352,3
PSID001,242250,336175,BOX,23,9,4,3,0,527,3
PSID002,40800,56610,BTL,165,6,5,11,0,265,3
DISO001,178500,247775,BOX,53,9,5,5,0,230,3
INLA001,102000,141525,BOX,20,14,7,4,0,343,3
INLA002,127500,177225,BOX,20,14,7,4,0,343,3
DISM001,114750,159375,BOX,60,6,11,7,0,404,3
REDA001,229500,318750,BOX,20,14,7,4,0,343,3
LACT003,63750,88825,BOX,50,14,7,4,0,471,3
REDA002,68000,94350,BOX,160,5,6,13,0,538,3
COLE001,42500,58990,BTL,110,6,5,11,0,361,3
DEXY003,47600,66045,BTL,36,26,25,15,0,525,02-B
DEXY004,65875,91460,BTL,134.8,26,25,15,0,525,02-B
STAR002,72250,100300,BTL,113,5,5,8,0,504,3
VOME002,45050,62560,BTL,160,6,5,13,0,490,3
VOME003,45050,62560,BTL,50,6,4,10,0,252,3
VECT004,45050,62560,BTL,140,5,5,10,0,422,3
RHIN005,48450,67235,BTL,50,6,4,10,0,247,3
RHIN006,37400,51935,BTL,120,6,5,11,0,361,3
RITE002,48450,67235,BTL,170,6,5,11,0,355,3
AZOM002,87975,122145,BTL,30,4,4,8,0,344,3
RITE003,57800,80240,BTL,45,6,3,9,0,225,3
LACI002,196350,272850,BOX,68,7,6,9,0,461,3
LEPS001,68000,94350,BTL,50,12,7,4,0,323,3
FOLI001,114750,159290,BOX,50,5,5,9,0,243,02-B
LEVO007,42500,58990,BTL,150,6,5,13,0,452,02-A
MOPR002,55250,76670,BTL,110,6,5,10,0,329,3
BUDE001,243100,338300,BOX,21,12,6,1,0,541,3
PEDI048,25500,35445,BTL,161.64,6,5,10,0,329,3
RHIN007,29750,41310,BTL,160,6,5,11,0,329,3
PROT006,38250,53125,BTL,95,5,6,10,0,337,3
DEXA014,683400,948600,BOX,60,14,8,3,0,315,3
VOLE002,285600,396270,BOX,16,11,4,1,0,47,3
VECT002,95200,132090,BOX,19,9,2,8,0,137,3
AZOM001,205700,285430,BOX,21,23,2,8,0,163,3
SIRA002,102000,141525,TUB,40,3,3,9,0,118,02-A
FLAM003,148750,206550,BOX,50,18,7,18,0,"2,143",3
SUPR005,59500,82620,BOX,72,5,4,10,0,176,3
MONA001,201450,279735,BOX,30,12,5,3,0,192,3
SUPR006,59500,83300,BOX,90,11,9,4,0,378,3
MXNF001,306000,424575,BOX,20,2,7,14,0,196,3
BUDE002,285600,397800,BOX,20.5,12,6,1,0,541,3
RESP006,113050,156910,BOX,43,5,4,9,0,"2,037",3
RESP007,106250,147560,BOX,59.7,8,3,11,0,302,3
RESP008,161500,224145,BOX,38.68,5,4,9,0,209,3
NOPE001,32172.5,45050,BOX,19.67,21,7,16,0,140,3
PRIM002,42500,59500,BOX,190,25,7,8,0,"1,459",3
PRIM003,26350,36975,BOX,101.2,18,4,7,0,521,3
DEXA005,53125,74375,BOX,160,9,8,10,0,946,3
TEOS002,16150,22525,BOX,52,13,4,6,0,338,3
DEXY007,100300,139400,BOX,162,8,23,7,0,"1,454",3
NEUR005,93500,130900,BOX,190,17,7,8,0,"1,162",3
DEXA026,19125,26775,BOX,120,16,6,7,0,775,3
PRIM009,4335,6035,BTL,135.2,4,4,11,0,350,3
DEXA032,11475,15980,BTL,150,6,5,13,0,483,3
VIDO004,19550,27200,BOX,20,9,4,3,0,127,3
PIRO004,19720,27625,BOX,60,8,6,7,0,672,3
VOLT011,38250,53550,BOX,40,9,4,5,0,211,3
ALLE001,13430,24310,BTL,15.1,3,3,7,0,62,3
CAVI002,53295,78200,BOX,85,11,8,4,0,397,3
CAVI003,114750,249347.5,BOX,147.5,24,8,6,0,"1,094",3
ERFL001,20825,62900,BTL,15,3,3,7,0,72,3
KOLI001,97750,199495,BOX,104.4,21,5,7,0,742,3
OPTI017,21250,74800,BTL,15,3,3,7,0,54,3
RELA001,30855,149600,BOX,26,14,6,2,0,162,3
VERT001,22950,137147.5,BOX,24.5,14,2,6,0,162,3
ERKO001,85000,150960,BTL,94.87,4,4,11,0,240,3
CAVI004,42500,62900,BTL,82.55,5,5,9,0,361,3
CAVI005,42500,74800,BOX,27.85,16,7,2,0,204,3
ERFL002,25500,62900,BTL,14.8,3,3,7,0,72,3
ACTI040,574217.5,775194.05,PCS,160,22,10,5,0,90,3
ACTI041,574217.5,775194.05,PCS,65,10,5,23,0,"1,335",3
LEUK008,113560,153306,ROL,106,5,5,16,0,344,02-A
UNIF002,42457.5,57318.05,ROL,50,4,10,4,0,233,02-A
UNIF003,55250,74587.5,ROL,50,5,15,5,0,441,02-A
UNIF004,36635,49457.25,ROL,30,5,8,5,0,195,02-A
TENS004,62262.5,84054.8,ROL,60,5,5,7,0,190,02-A
TENS005,75267.5,101611.55,ROL,86,5,5,10,0,410,02-A
TENS006,99025,133683.75,ROL,124,5,5,15,0,653,3
LEUK102,651270,879214.5,BAG,628,31,5,16,0,"3,208",3
LEUK105,507450,685057.5,BAG,419,31,5,11,0,"2,005",3
LEUK108,428400,578340,BAG,316,4,4,8,0,250,3
DELT002,201960,272646,ROL,140,8,8,10,0,682,02-B
DELT003,227077.5,306555.05,ROL,180,8,8,12,0,797,02-B
DELT004,260695,351938.25,ROL,220,8,8,12,0,802,02-B
DELT017,181007.5,244360.55,ROL,80,18,6,10,0,694,02-B
DELT031,218535,295022.25,ROL,50,6,6,15,0,522,02-B
DELT037,201280,271728,ROL,50,6,6,15,0,865,02-B
DELT039,202852.5,273851.3,ROL,220,3,11,20,0,968,02-B
DELT055,118957.5,160593.05,ROL,175,22,22,5,0,"2,129",02-B
DELT056,135192.5,182510.3,ROL,225,22,22,5,0,"2,129",02-B
DELT057,155975,210566.25,ROL,275,22,22,5,0,"2,129",02-B
GYPS004,29197.5,39417.05,ROL,140,6,6,8,0,227,02-A
GYPS005,40842.5,55137.8,ROL,180,6,6,10,0,303,02-A
GYPS006,53635,72407.25,ROL,240,5,5,15,0,416,02-A
ACTI110,116152.5,156806.3,BOX,440,12,5,15,0,"1,178",3
DELT011,65917.5,88989.05,ROL,50,21,14,14,0,407,02-A
DELT012,99492.5,134315.3,ROL,116.7,21,14,1,0,607,02-A
DELT013,119340,161109,ROL,50,21,14,14,0,360,02-A
