CODE,PANJANG_CM,LEBAR_CM,TINGGI_CM,VOLUME,MAX_WEIGHT,DETAILS
10VICEAL01,59,29,38,65018,130036,BDCM1 – Blue Print – Double Wall Box
10UKDW006,46,46,31,65596,131192,Removals Box - Printed Arrows * 
10UKDW044,41,41,41,68921,137842,Medium Parcel
10UKSW246,60,30,39,70200,140400,BDCM1 Blue Print - Medium Parcel **
10FASHION02,57,36,37,75924,151848,FP4 - Medium Parcel ††††
10FAITHF01,58,37,37,79402,158804,Medium Parcel
10UKDW009,59,39,35,80535,161070,JJ - Medium Parcel
10UKDW007,51,51,31,80631,161262,Standard Carton
10UKDW310,58,38,39,85956,171912,Removals
10WCHB002,51,16,109,88944,177888,"Printed 1 Colour Black, includes Hanging Bar"
10UKVDC01,46,46,46,97336,194672,Variable Depth ** ††
10UKDW304,57,43,43,105393,210786,Medium Parcel
10UKDW187,56,41,46,105616,211232,
10PREMIER02,46,46,51,107916,215832,Removals Box - Printed Arrows †† 
10UKDW012,77,46,31,109802,219604,Standard Carton
10PREMIER04,92,46,26,110032,220064,Removals Box †††
10FASHION01,57,36,56,114912,229824,FP6 - BDC Box / Fashion / Retail
10UKDWHD002,49,41,61,122549,245098,Removals - Heavy Duty
10BAKERR03,61,26,79,125294,250588,Variable Depth ‡‡
10UKDW311,61,46,46,129076,258152,Heavy Duty - Hand Holes
10UKVDC02,61,46,46,129076,258152,A2 - Variable Depth **
10UKDW128,51,51,51,132651,265302,Standard Carton
10UKDW015,57,51,56,162792,325584,Printed Fragile and This Way up Arrows
10VAU08,46,46,77,162932,325864,Removals Box - Printed Arrows *** 
10UKDW010,77,46,46,162932,325864,Variable Depth **
10UKDW183,77,46,46,162932,325864,Stitched
10UKSW057,64,48,57,175104,350208,
10UKDW011,77,51,51,200277,400554,Standard Carton
10UKDWHD001,60,60,60,216000,432000,Removals - Heavy Duty
10UKDW014,61,61,61,226981,453962,Variable Depth 
10WCHB010,51,46,102,239292,478584,"Printed 1 Colour Black, includes Hanging Bar"
10UKDWHD003,73,58,64,270976,541952,Removals - Heavy Duty
10WCHB001,51,46,122,286212,572424,"Printed 1 Colour Black, includes Hanging Bar"
12PALLB001,77,57,66,289674,579348,"1/2 EUROPA - Heat Treated Pallet - Cap, Tray & Sleeve"
10WCHB009,51,46,125,293250,586500,"Printed 1 Colour Black, includes Hanging Bar"
10UKDWHD004,87,56,69,336168,672336,Removals - Heavy Duty
10VAU16,89,77,51,349503,699006,Export Grade
10UKDWHD005,97,61,69,408273,816546,Removals - Heavy Duty
10VAU47,77,77,77,456533,913066,Export Grade
12PALLB003,108,87,55,516780,1033560,"1/2 CONTAINER - Heat Treated Pallet - Cap, Tray & Sleeve"
12PALLB002,117,77,66,594594,1189188,"1/1 EUROPA - Heat Treated Pallet - Cap, Tray & Sleeve"
10UKDW255,120,80,80,768000,1536000,Variable Depth ****
10VAU02,92,92,92,778688,1557376,Export Grade
12PALLB004,108,87,90,845640,1691280,"1/1 CONTAINER - Heat Treated Pallet - Cap, Tray & Sleeve"
